category,technology,primary_role,local_status,fit_score_5,mvp_decision,license_or_cost,reason,official_source
storage,CSV/text,immutable vendor landing format,existing,2,archive_only,format dependent,Human-readable and diffable but weak typing and scan efficiency.,https://arrow.apache.org/docs/python/csv.html
storage,Parquet/Arrow,canonical analytical storage,tested,5,adopt,Apache-2.0,Portable typed columnar storage with projection and predicate pushdown across all selected engines.,https://arrow.apache.org/docs/python/dataset.html
storage,HDF5,local array store,not tested,2,reject_for_canonical,BSD-compatible library ecosystem,Fast in narrow Python workflows but weaker multi-engine interoperability and operational tooling than Parquet.,https://docs.h5py.org/en/stable/
storage,SQLite,metadata and run registry,tested indirectly,4,adopt_for_metadata,public domain,Transactional single-user metadata store; unsuitable as the canonical 69.6M-row analytical bar store.,https://sqlite.org/about.html
storage,DuckDB database,query cache and catalog,tested,5,adopt_as_facade,MIT,Excellent embedded SQL and Parquet access; duplicating the canonical data in a version-coupled database is optional.,https://duckdb.org/docs/stable/data/parquet/overview
storage,PostgreSQL,shared transactional service,not tested,3,defer,PostgreSQL licence,Useful when concurrent writers and services exist; unnecessary server operations for the solo local MVP.,https://www.postgresql.org/docs/current/index.html
storage,TimescaleDB,shared time-series service,not tested,2,defer,Apache-2.0 plus community/commercial terms,Hypertables and continuous aggregates are valuable later but add server and extension operations without solving the research-lake need.,https://docs.timescale.com/
data_engine,pandas,compatibility and notebook boundary,tested,4,retain,BSD-3-Clause,Broad ecosystem and clear semantics; slower and more memory intensive for many columnar transformations.,https://pandas.pydata.org/docs/
data_engine,PyArrow,dataset IO and schema contract,tested,5,adopt,Apache-2.0,Direct Parquet metadata and dataset control with strong interoperability.,https://arrow.apache.org/docs/python/dataset.html
data_engine,Polars,lazy feature pipelines,tested,5,adopt,MIT,Fast lazy expressions and streaming-friendly query plans; local feature calculation was about twice as fast as pandas.,https://docs.pola.rs/user-guide/lazy/using/
data_engine,DuckDB,SQL scans joins and dataset construction,tested,5,adopt,MIT,Best local relational facade for Parquet and point-in-time dataset construction.,https://duckdb.org/docs/stable/data/parquet/overview
data_engine,Dask,distributed or out-of-core DataFrame,comparison_only,2,defer,BSD-3-Clause,Current data fits the workstation and the scheduler adds complexity with no demonstrated need.,https://docs.dask.org/en/stable/dataframe.html
data_engine,Modin,drop-in distributed pandas,comparison_only,2,defer,Apache-2.0,Execution indirection and Ray/Dask dependencies are not justified by measured local bottlenecks.,https://modin.readthedocs.io/
data_engine,Vaex,memory-mapped DataFrame,comparison_only,2,defer,MIT,Interesting for large lazy frames but narrower ecosystem and no local evidence over Arrow/Polars/DuckDB.,https://vaex.io/docs/
data_engine,Spark,distributed batch SQL,comparison_only,1,reject_for_mvp,Apache-2.0,Cluster-oriented operations are disproportionate for a single 32-GB workstation and 1.1-GB Parquet control.,https://spark.apache.org/docs/latest/
research_backtester,NumPy/Numba reference,transparent factor and grid kernels,tested,5,adopt,BSD-style dependencies,Provides deterministic auditable kernels and extremely low warm overhead after compilation.,https://numba.readthedocs.io/en/stable/
research_backtester,vectorbt OSS,secondary vectorized portfolio analysis,compatibility_failed,3,conditional,project licence terms apply,The fresh environment cold import plus bounded grid exceeded 120 seconds; pin and re-test before relying on it.,https://github.com/polakowo/vectorbt/releases
research_backtester,bt,cross-sectional allocation candidate,installed_not_full_benchmarked,3,conditional,MIT,Readable allocation-tree model but less suitable than direct factor analytics for the core ranking workload.,https://github.com/pmorissette/bt
research_backtester,backtesting.py,single-instrument strategy research,comparison_only,2,reject_for_cross_sectional_mvp,AGPL-3.0,Well maintained but its main abstraction is not a natural point-in-time multi-asset rank engine.,https://github.com/kernc/backtesting.py
event_engine,Custom daily simulator,weekly and daily target-weight execution,tested,5,adopt,project-owned,Only candidate fully reconciled locally; narrow scope keeps timing cash and corporate-action hooks inspectable.,RESEARCH/prototypes/event_engine/custom_daily.py
event_engine,PyBroker,walk-forward portfolio simulator,compatibility_failed,2,defer,Apache-2.0,Cold import exceeded 90 seconds in the fresh mixed event environment; compatibility must be isolated before a fair run.,https://www.pybroker.com/en/latest/reference/pybroker.strategy.html
event_engine,Zipline-reloaded,conventional event engine,import_smoke_passed,3,optional_challenger,Apache-2.0,Maintained packaged engine with bundles and scheduled events; adapter and calendar work remain substantial.,https://github.com/stefan-jansen/zipline-reloaded/releases
event_engine,Backtrader,general event backtester,import_smoke_passed,2,defer,GPL-3.0,Mature and extensible but multi-asset point-in-time universe handling is more awkward than the narrow custom ledger.,https://www.backtrader.com/docu/
event_engine,QSTrader,portfolio event simulation,comparison_only,2,defer,MIT,Relevant architecture reference but smaller maintenance/ecosystem signal than selected alternatives.,https://github.com/mhallsmoore/qstrader
future_engine,LEAN,future live and multi-asset engine,official_research_only,3,future_candidate,Apache-2.0 engine plus platform tiers,Justified when broker/live parity and a dedicated engine operating model outweigh custom-data integration cost.,https://www.quantconnect.com/docs/v2/lean-engine/getting-started
future_engine,NautilusTrader,future high-performance event/live engine,official_research_only,3,future_candidate,LGPL-3.0,Strong typed Rust/Python event architecture but beta cadence and integration complexity exceed the daily MVP need.,https://nautilustrader.io/docs/latest/concepts/architecture/
ml,scikit-learn,linear preprocessing and validation baseline,tested,5,adopt,BSD-3-Clause,Essential baseline and pipeline library; SGD was used because Ridge solvers hung in both fresh numerical stacks.,https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.TimeSeriesSplit.html
ml,LightGBM,primary nonlinear tabular model,tested,5,adopt,MIT,Fast CPU histogram training and ranking objectives fit bounded tabular research.,https://lightgbm.readthedocs.io/en/stable/Parameters.html
ml,XGBoost,challenger and optional GPU model,tested,4,adopt_as_challenger,Apache-2.0,CUDA training was faster locally on the bounded table but needs device-resident prediction data and larger-workload validation.,https://xgboost.readthedocs.io/en/stable/gpu/
ml,CatBoost,categorical-feature challenger,installed_not_benchmarked,3,conditional,Apache-2.0,Useful when native categorical treatment is material; not required for the initial numeric feature matrix.,https://catboost.ai/en/docs/
ml,PyTorch,deep and custom differentiable models,installed_not_benchmarked,2,defer,BSD-style,CPU build was installed for compatibility but deep models are not justified before strong tabular baselines.,https://pytorch.org/docs/stable/index.html
ml,Optuna,hyperparameter search,installed_not_benchmarked,4,adopt_later,MIT,Good pruning and study abstraction; only chronological objectives with bounded budgets should be allowed.,https://optuna.readthedocs.io/
ml,statsmodels,statistical diagnostics,installed_not_benchmarked,4,adopt,BSD-3-Clause,Transparent inference and time-series diagnostics complement predictive models.,https://www.statsmodels.org/stable/index.html
ml,SciPy,numerical primitives,installed,5,adopt,BSD-3-Clause,Core scientific dependency for statistics optimisation and sparse operations.,https://docs.scipy.org/doc/scipy/
ml,SHAP,model explanation,installed_not_benchmarked,3,conditional,MIT,Useful diagnostic with meaningful compute cost; explanations must not be treated as causal evidence.,https://shap.readthedocs.io/
